Name,Type,Address,Ratings,Location,Price,Image
Muong Thanh Grand Xa La,Hotel,"66 Phuc La Street, Ha Dong",4.0,Hanoi,1100000,https://www.hotel-board.com/picture/muong-thanh-grand-xa-la-hotel-hotel-692448.jpg
A&D Luxury Hotel,Hotel,"71 Luu Quang Vu Street",4.3,Hanoi,1400000,https://cf.bstatic.com/xdata/images/hotel/max1024x768/562313143.jpg?k=0a4372a1bfbbf4f0b3b1c7d0280fa3d0895980a13de14244ace38853d417ff39&o=&hp=1
Hanoi Golden Moon Hotel,Hotel,"65 Nguyen Huu Huan Street, Hoan Kiem",3.7,Hanoi,850000,https://media-cdn.tripadvisor.com/media/photo-s/09/f2/e5/19/hanoi-golden-moon-hotel.jpg
Melia Hanoi,Hotel,"44B Ly Thuong Kiet Street, Hoan Kiem",4.8,Hanoi,3800000,https://photo.golfasian.com/userpics/10001/Melia-Hanoi5.jpg
Golden Lotus Hotel,Hotel,"Hanoi, Vietnam",3.9,Hanoi,900000,https://golden-lotus-luxury-hotel.hanoi-hotels.org/data/Photos/OriginalPhoto/499/49908/49908387/hanoi-golden-lotus-luxury-hotel-photo-42.JPEG
Sheraton Hanoi,Hotel,"Hanoi, Vietnam",4.6,Hanoi,3400000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/c4/7a/3e/sheraton-hanoi-hotel.jpg?w=700&h=-1&s=1
Golden Wings Hotel,Hotel,"106 Ma May",3.5,Hanoi,750000,https://dolcehanoigoldenlake.com/wp-content/uploads/2023/05/DHGL-Exterior-9-scaled.jpg
Golden Wings II Hotel,Hotel,"99 Ma May",3.6,Hanoi,780000,https://leisure-travel.vn/wp-content/uploads/2020/11/Hotel-Exterior-1.jpg
Golden Sunrise Hotel,Hotel,"Hanoi, Vietnam",3.8,Hanoi,800000,https://vietnamtotravel.com/uploads/0000/1/2022/10/25/350819933.jpg
Golden LakeView Hotel,Hotel,"Hanoi, Vietnam",4.1,Hanoi,950000,https://dolcehanoigoldenlake.com/wp-content/uploads/2020/01/dai_dien_Premier_lake_view_king.jpg
Golden Sun Palace Hotel,Hotel,"33 Hang Quat",4.2,Hanoi,1100000,https://golden-sun-palace-hotel.hanoi-hotels.org/data/Photos/OriginalPhoto/7659/765945/765945961/hanoi-golden-sun-palace-hotel-photo-9.JPEG
Golden Cyclo Hotel,Hotel,"25-27 Ngo Tram, Hang Bong Street",4.0,Hanoi,1050000,https://starsolutions.vn/pic/Customer/golden-cy_637242103301534825_HasThumb.jpg
Mercure Hotel,Hotel,"Hanoi, Vietnam",4.4,Hanoi,1800000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/ff/90/64/exterior-view.jpg?w=700&h=-1&s=1
Golden Diamond Hotel,Hotel,"10 Tran Nhat Duat Street",3.7,Hanoi,780000,https://pix10.agoda.net/hotelImages/857490/-1/4958bd0f53f96f0462dad64acaea28c2.jpg?s=1024x768
Golden Snake Hotel,Hotel,"45 Ngo Huyen",3.5,Hanoi,680000,https://vietnamtotravel.com/uploads/0000/1/2022/10/25/350814583.jpg
Golden Holiday Hotel,Hotel,"43 Hang Dong",4.1,Hanoi,980000,https://viettourist.vn/wp-content/uploads/2020/03/97120940.jpg
Golden Charm Hotel,Hotel,"24 Hang Quat",4.0,Hanoi,920000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/bd/e1/1b/hanoi-golden-charm-hotel.jpg?w=1200&h=-1&s=1
Hanoi Golden Hotel,Hotel,"51 Nguyen Sieu",3.9,Hanoi,880000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/82/c8/95/hanoi-golden-hotel.jpg?w=900&h=500&s=1
Golden Sun Villa Hotel,Hotel,"Hanoi, Vietnam",4.3,Hanoi,1250000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/d0/b9/24/golden-sun-hotel.jpg?w=700&h=-1&s=1
The Buffet Garden - Group 6 - T01-1,Restaurant,"14 Cau Vong",4.5,Hanoi,350000,https://www.tnktravel.com/wp-content/uploads/2017/08/top-8-grill-hotpot-buffet-restaurants-in-hanoi-1.jpg
Wa Grill,Restaurant,"27/168 Trung Kinh Street",4.6,Hanoi,500000,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=511584794092140
Bay Seafood Buffet,Restaurant,"14 Tong Dan Street",4.3,Hanoi,450000,https://baybuffet.com/wp-content/uploads/2022/10/438k-3.jpg
Buffet Sen Tay Ho,Restaurant,"Hanoi, Vietnam",4.7,Hanoi,600000,https://static.wixstatic.com/media/9d8ed5_404e13ee09c94529bdc0ef306e2bb878~mv2.png/v1/fill/w_700,h_700,al_c,q_90,enc_auto/9d8ed5_404e13ee09c94529bdc0ef306e2bb878~mv2.png
Wine Garden,Restaurant,"4H1 New Urban Area",4.2,Hanoi,650000,https://www.asiakingtravel.com/cuploads/images/Blog/Vietnamese+Restaurant+in+Ha+Noi/Vietnamese-Restaurants-in-Hanoi-1_1.jpg
The Farmer Gardenista,Restaurant,"B40 Nguyen Thi Dinh Street",4.1,Hanoi,180000,https://images.foody.vn/res/g32/317491/s800/foody-the-farmer-gardenista-826-636946333506309585.jpg
Garden House Restaurant,Restaurant,"Hanoi, Vietnam",4.0,Hanoi,250000,https://img.vietcetera.com/uploads/images/20-dec-2020/hn-garden-1-1024x768-768x576.jpg
Viako Garden Restaurant,Restaurant,"Hanoi, Vietnam",3.9,Hanoi,200000,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/d1/a4/19/fresh-and-delicious-vietnamese.jpg
Sushi Garden,Restaurant,"107 Nam Dong Street",4.4,Hanoi,400000,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1147235557131711&get_thumbnail=1
Grill Mapa Restaurant,Restaurant,"77 Trung Hoa Street",4.2,Hanoi,350000,https://product.hstatic.net/1000275435/product/khong-gian-nha-hang-mapa-wine-bar-grill-restaurant-4_94d79c0a41b941a0b2be91f593a9cedf_master.jpg
Buffet Sen Restaurant,Restaurant,"60 Ly Thai To Street",4.5,Hanoi,520000,https://www.vietnamonline.com/media/uploads/froala_editor/images/Sen+Restaurant.jpg
Soya Garden,Restaurant,"127 Van Cao Street",4.1,Hanoi,70000,https://i.pinimg.com/736x/85/13/22/851322ee74cb94d1345d6a395cbdfd6f.jpg
Fin BBQ Buffet,Restaurant,"9 Alley 87 Le Van Hien Street",4.3,Hanoi,320000,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1087904093338813
Fin House Thai Hotpot,Restaurant,"9 Alley 87 Cau Vong",4.2,Hanoi,280000,https://toplist.vn/images/800px/fin-house-buffet-lau-thai-1030480.jpg
Vegan Buffet,Restaurant,"Hanoi, Vietnam",4.0,Hanoi,150000,https://veggiecastle.vn/wp-content/uploads/2021/03/z2402980234059_b04978f0e5ff96793442fc81c7d9423a.jpg
Le Garden,Restaurant,"143 Trieu Viet Vuong Street",4.4,Hanoi,250000,https://img.vietcetera.com/uploads/images/20-dec-2020/hn-garden-1-1024x768-768x576.jpg
King BBQ Buffet,Restaurant,"Hanoi, Vietnam",4.2,Hanoi,369000,https://img.restaurantguru.com/c662-King-BBQ-Hanoi-food-3.jpg
Pho 10,Restaurant,"10 Ly Quoc Su Street",4.8,Hanoi,100000,https://c8.alamy.com/comp/2XDH694/hanoi-vietnam-28-jan-2024-pho-10-ly-quoc-su-restaurant-in-hanoi-old-quarter-2XDH694.jpg
Cha Ca Thuy Hong Restaurant,Restaurant,"12 Hang Ga, Hoan Kiem",4.5,Hanoi,220000,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1140267731443065
Quan An Ngon,Restaurant,"34 Phan Dinh Phung Street",4.7,Hanoi,300000,https://www.asia-bars.com/wp-content/uploads/2016/07/quan-an-ngon-40.jpg
