name,address,ratings,price,image_url,Location
Sonata Hotel & Residences,"41-43 Nguyen Thi Thap St., Tan Phu, District 7, Ho Chi Minh City",4.5,1400000,https://lh3.googleusercontent.com/p/AF1QipOBKsSlMh2H-h1qftGqivpVc_LoIL4aCgb_oYSk=w493-h298-k-no,Ho Chi Minh
Saigon City Center Hostel,"385/143 Nguyen Cong Tru, Cau Ong Lanh Ward, District 1, Ho Chi Minh City",2.9,300000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxbnLEzOdlAp5tBwW8sYGe18hFKD02Wg06rPKgw6X5ffcvEaJSwL7f0C1E5USNzfLMyANOZFkQoDpOCCh69KhKLGYNaQkUxo7ZHM2Dq8n6NAF7sSycaS5j6BWDvBsXn7F5OswuY=w397-h298-k-no,Ho Chi Minh
Fusion Suites Sai Gon,"3-5 Suong Nguyet Anh St., Ward, Ho Chi Minh City",4.5,1600000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxo0kalBlgFc4GWNPoucp0ch4AsNspHiWqubmVpT4q_7nvm6aJirxwTxB4_tyWTle6j-kraO9vwdHkegUIifSF1t6x9VN5CV52vJwwx6ohEea4wBE-H0uOftuV6lcXauBDfJoYj=w447-h298-k-no,Ho Chi Minh
Saigon Hub Hostel,"283/2C Pham Ngu Lao, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",4,350000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw81g-btmiz9brkeEr0R2OOFvft7qnnIpscbzZWiy0QdnPJemLDl-ip-Z6qfBYa9YZsOWL4vVgdTqJ1h4zeCW8m9MhhVoI_wVc8zs5qYiJtG8f0jvmXvD5ffY5yCNWp4JDGfKAT=w529-h298-k-no,Ho Chi Minh
La Siesta Premium Saigon,"180-188 Ly Tu Trong, Ben Thanh Ward, District 1, Ho Chi Minh City",4.9,1800000,https://lh3.googleusercontent.com/p/AF1QipPj_iEydFe4aiCC0PzqOjTAmWHh2Gg9Qr6xQG2n=w446-h298-k-no,Ho Chi Minh
Dorms SG,"214/C32 Nguyen Trai, Nguyen Cu Trinh Ward, District 1, Ho Chi Minh City",4.2,320000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx1kLX8ce3jzRODL_IT05cfxzi3i2JCv9kvfDhUBq1NVp23k9inmAxZHkL35LOHuSDuoX6kuZra4hTOR5SkU2gjT3TWFNyYqMC-ZqK_cB8Xs_p-TXYMndqN9os0Fk7oPNm7go8=w224-h485-k-no,Ho Chi Minh
Hotel Continental Saigon,"Dong Khoi St., Ben Nghe, District 1, Ho Chi Minh City",4.4,2200000,https://lh3.googleusercontent.com/p/AF1QipOUJkDo8kcCzh1WQE0McW-qU9v6nNavZCzhjpWE=w507-h298-k-no,Ho Chi Minh
Sakura Hostel Saigon,"39/26 Nguyen Trai, Ben Thanh Ward, District 1, Ho Chi Minh City",4.4,380000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxphDkj09_TfTiKrrEz1PeX6RZA1SkamRQoK78J8jufi0Wd1Zi3rwZ_3yVWzoQi4X8oBf6v4U_7pPM5Jq5RExXj2yHWTjef5FLIJ0PGuNDv3uqAfCys84p90bKdDmbvHi3o9IJa=w224-h298-k-no,Ho Chi Minh
Mai House Saigon Hotel,"Ngo Thai Nhiem, Vo Thi Sau Ward, District 3, Ho Chi Minh City",4.8,1500000,https://lh3.googleusercontent.com/p/AF1QipMlYiUKH5OScGi1sj9c2yfyX72jvnhhDt7dtxre=w447-h298-k-no,Ho Chi Minh
Hanoi Hotel,"D8 Giang Vo St., Giang Vo, Ba Dinh, Hanoi",4.3,850000,https://lh3.googleusercontent.com/p/AF1QipPuYCt_iX5HjYj0It1VY_AQ8Dzxe3TViHYpB111=w446-h298-k-no,Ha Noi
L'hotel du Lac Hanoi,"35 Hang Trong St., Phuong, Hoan Kiem, Hanoi",4.9,1500000,https://lh3.googleusercontent.com/p/AF1QipNmUS4nMzsOj4TNI90xXWiTLNZ0_oSJeBnvXvDn=w447-h298-k-no,Ha Noi
Grand Hotel du Lac Hanoi,"18-24 Nha Chung St., Hoan Kiem Ward, Hoan Kiem, Hanoi",4.8,1800000,https://lh3.googleusercontent.com/p/AF1QipO5NPGVCRz8mtUOoQIIZZWEuVwPo4KgcdSGosGA=w397-h298-k-no,Ha Noi
The Oriental Jade Hotel,"92-94 Hang Trong St., Hang Trong, Hoan Kiem, Hanoi",4.8,1600000,https://lh3.googleusercontent.com/p/AF1QipPBEDzqpZafyaCYKpgvEdGsXuZku3xbelzedeed=w461-h298-k-no,Ha Noi
Dahlia Hotel Hanoi,"18 Hang Duong St., Hoan Kiem, Hanoi",4.5,1200000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxKX1T-bXBdTnxqH7AwUk6SqrDHTdQraPyysfVB6yUzLqKAoXGi23svcvtMhDVAGj9TrZ8vni5LoguVrByQE3-hRwyAHoXVbx4FrpGPmGTxDon5JmMWNM1KAFkcL4O2tDhDWB3w=w224-h298-k-no,Ha Noi
Old Quarter View Hanoi Hostel,"3-5 Noi Mieu Alley, Hang Buom, Hoan Kiem, Hanoi",4.8,400000,https://lh3.googleusercontent.com/p/AF1QipNqVaFvX0j8KxrVk6QXru05vIONVkqDb_-wCeCr=w332-h298-k-no,Ha Noi
La Mejor Hotel & Sky Bar,"22 To Hien St., Hang Buom, Hoan Kiem, Hanoi",4.8,1350000,https://lh3.googleusercontent.com/p/AF1QipNXCBgIfpo6BimghgpDopkv9i99CSDbwTqcSnCW=w446-h298-k-no,Ha Noi
Hanoi Lion Boutique Hotel,"22-24 Nguyen Van To St., Cua Dong, Hoan Kiem, Hanoi",4.8,1450000,https://lh3.googleusercontent.com/p/AF1QipMhmVPaa0Enkbfs88jRt9tDDN3n_jlNd3lkD6IF=w447-h298-k-no,Ha Noi
The Autumn Homestay,"30A Truc Lac Alley, Truc Bach, Ba Dinh, Hanoi",4.2,600000,https://lh3.googleusercontent.com/p/AF1QipP5Ti5Lru60bHpoQ65q1ECdOT8AEUnaZTpH2QPM=w447-h298-k-no,Ha Noi
Grand Mercure Hanoi,"9 Cat Linh St., Van Mieu - Quoc Tu Giam, Dong Da, Hanoi",4.7,2200000,https://lh3.googleusercontent.com/p/AF1QipMKCl7l7CYEGjAP9kQFooBOEToyx6KLSM48sKzr=w382-h298-k-no,Ha Noi
De La Soie Hotel & Travel,"111 Hang Dao St., Hang Dao, Hoan Kiem, Hanoi",4.4,1100000,https://lh3.googleusercontent.com/p/AF1QipNYk9BzB4I6mcOEbSwRInM2KMQvwCjc7_kTFb-0=w224-h298-k-no,Ha Noi
The Capital Hotel ,"23 Au Trieu St., Hang Trong, Hoan Kiem, Hanoi",4.9,1650000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSydVrk27VoI-y5kqAQimPSqte_3MjvApSFKWOXiaLkgF9oHJaglhEH-sKfAq53AOcSYzpXOf8DjdXNTewWmumdKBRDIvpLHypjep7MPbsvuGa4HG71ZIopIxIbbrTFXB30wZpJjYmpIcJeT=w224-h298-k-no,Ha Noi
Hanoi Emerald Waters Hotel Valley,"22 Lo Su St., Ly Thai To, Hoan Kiem, Hanoi",5,1700000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylVVpVeCaum0f8OXZjjSv_ZRbvIYouD8R3u8xA0xVxD4MvLdvb3HS253b6jwDrP04YCuJoIFR0V1L93gPHLQOUYJ0eWRcigCwDs5sesBcbuYesyz7FS0_XawIxNcXLISlYsuIxudYMMU3k=w285-h298-k-no,Ha Noi
Luxury Backpackers Hotel,"56 Huyen Alley, Hoan Kiem, Hanoi",4.5,350000,https://lh3.googleusercontent.com/p/AF1QipNGuKfBn46P1BHExUGypOVjkaguscingZv7RVA-=w298-h298-k-no,Ha Noi
Hanoi Daewoo Hotel,"360 Kim Ma St., Ngoc Khanh, Ba Dinh, Hanoi",4.4,2500000,https://lh3.googleusercontent.com/p/AF1QipOBAdNS0pLO2DaJ1w_R0U_-FO-JqKIpzIQSgtpK=w448-h298-k-no,Ha Noi
Coco Hotel Hanoi,"5b Tran Duy Hung St., Trung Hoa, Cau Giay, Hanoi",4.3,900000,https://lh3.googleusercontent.com/p/AF1QipNI1-MrEVsbJD1Og3IV6sbXMRhPg5fNR5esKJMT=w397-h298-k-no,Ha Noi
Acoustic Hotel & Spa,"39 Tho Nhuom St., Hoan Kiem, Hanoi",4.7,1250000,https://lh3.googleusercontent.com/p/AF1QipOrKubpKytvjpHL9yytRZ4RIw8qk1NWyJdhlFwi=w466-h298-k-no,Ha Noi
Hanoi Le Jardin Hotel & Spa,"46A Nguyen Truong To St., Truc Bach, Ba Dinh, Hanoi",4.7,1400000,https://lh3.googleusercontent.com/p/AF1QipO9EhZTslKsewIQ8hLA5uZtuWmI2PRrcr4b2aar=w224-h335-k-no,Ha Noi
